hour,temp,holiday,weather_main,traffic_volume
23,29,0,Snow,69
15,24,0,Clouds,55
21,26,0,Rain,75
0,22,1,Clouds,49
19,27,0,Rain,100
13,22,0,Clouds,61
20,26,1,Snow,65
20,16,1,Clear,82
20,27,0,Snow,86
23,30,0,Rain,31
5,21,0,Rain,47
7,25,0,Clear,80
6,32,1,Clear,31
13,17,1,Clear,69
13,27,1,Snow,38
3,18,0,Rain,40
8,27,1,Rain,70
6,27,0,Rain,85
1,18,1,Rain,35
20,22,0,Rain,65
0,25,1,Clear,85
20,24,0,Rain,54
4,24,0,Clouds,31
0,23,1,Snow,69
1,16,1,Snow,66
16,32,0,Rain,45
0,22,0,Clouds,91
19,35,1,Rain,20
14,16,1,Snow,61
3,18,1,Clouds,99
21,21,1,Clear,38
7,23,0,Clouds,81
21,23,1,Rain,35
7,22,1,Rain,77
10,18,1,Clouds,70
10,25,1,Clouds,28
2,24,0,Snow,68
18,32,1,Snow,39
18,35,1,Clear,35
15,15,1,Clouds,40
10,23,0,Clear,16
14,34,0,Clear,60
3,22,1,Snow,74
14,22,1,Snow,54
22,16,1,Rain,69
13,27,0,Rain,25
9,35,0,Rain,11
15,22,0,Clear,88
7,31,0,Clear,43
12,24,0,Snow,52
10,19,1,Clear,17
5,19,0,Clear,55
8,15,1,Clear,95
7,27,1,Clouds,43
15,26,0,Rain,49
4,20,1,Clouds,84
21,17,0,Rain,36
1,30,1,Clouds,91
7,22,1,Rain,56
3,20,0,Snow,83
16,31,1,Snow,43
20,30,0,Clouds,56
17,19,1,Snow,15
7,23,1,Rain,52
9,35,0,Rain,95
13,19,1,Snow,23
17,15,0,Rain,60
12,15,0,Snow,86
20,17,1,Snow,19
18,23,0,Snow,30
10,23,0,Clear,19
23,27,0,Clouds,89
20,25,1,Clouds,90
1,15,1,Clouds,41
1,28,0,Snow,34
11,30,1,Rain,38
5,31,0,Rain,40
1,29,0,Snow,40
18,22,1,Rain,81
4,19,0,Rain,61
15,15,0,Snow,49
6,20,0,Snow,33
14,20,1,Clouds,35
22,28,0,Rain,96
13,16,0,Clear,52
22,23,0,Clear,66
6,31,1,Rain,73
5,15,1,Rain,28
20,20,0,Clear,28
5,29,1,Clouds,13
10,26,0,Clear,83
19,34,0,Clear,14
16,26,1,Clouds,67
23,17,1,Snow,46
9,31,0,Clouds,36
11,35,1,Snow,31
18,35,1,Clouds,45
10,19,0,Rain,96
18,33,1,Clear,50
9,18,0,Clear,73
6,20,1,Clear,28
15,17,1,Snow,45
8,32,1,Rain,91
23,25,1,Clouds,66
7,27,0,Clouds,86
5,25,1,Snow,71
21,20,1,Snow,94
16,30,0,Rain,82
11,31,1,Clear,64
2,16,1,Snow,31
10,30,0,Rain,82
19,18,1,Clouds,29
5,22,1,Clear,99
23,23,1,Rain,19
23,22,1,Clear,63
13,17,1,Clouds,42
1,35,0,Snow,44
22,17,0,Snow,76
5,25,0,Clear,87
20,27,0,Clear,77
7,19,0,Clear,97
12,23,0,Clouds,30
11,15,1,Clear,42
12,34,0,Rain,100
